"","V1"
"1","1 tBodyAcc-mean()-X"
"2","2 tBodyAcc-mean()-Y"
"3","3 tBodyAcc-mean()-Z"
"4","4 tBodyAcc-std()-X"
"5","5 tBodyAcc-std()-Y"
"6","6 tBodyAcc-std()-Z"
"7","7 tBodyAcc-mad()-X"
"8","8 tBodyAcc-mad()-Y"
"9","9 tBodyAcc-mad()-Z"
"10","10 tBodyAcc-max()-X"
"11","11 tBodyAcc-max()-Y"
"12","12 tBodyAcc-max()-Z"
"13","13 tBodyAcc-min()-X"
"14","14 tBodyAcc-min()-Y"
"15","15 tBodyAcc-min()-Z"
"16","16 tBodyAcc-sma()"
"17","17 tBodyAcc-energy()-X"
"18","18 tBodyAcc-energy()-Y"
"19","19 tBodyAcc-energy()-Z"
"20","20 tBodyAcc-iqr()-X"
"21","21 tBodyAcc-iqr()-Y"
"22","22 tBodyAcc-iqr()-Z"
"23","23 tBodyAcc-entropy()-X"
"24","24 tBodyAcc-entropy()-Y"
"25","25 tBodyAcc-entropy()-Z"
"26","26 tBodyAcc-arCoeff()-X"
"27","1"
"28","27 tBodyAcc-arCoeff()-X"
"29","2"
"30","28 tBodyAcc-arCoeff()-X"
"31","3"
"32","29 tBodyAcc-arCoeff()-X"
"33","4"
"34","30 tBodyAcc-arCoeff()-Y"
"35","1"
"36","31 tBodyAcc-arCoeff()-Y"
"37","2"
"38","32 tBodyAcc-arCoeff()-Y"
"39","3"
"40","33 tBodyAcc-arCoeff()-Y"
"41","4"
"42","34 tBodyAcc-arCoeff()-Z"
"43","1"
"44","35 tBodyAcc-arCoeff()-Z"
"45","2"
"46","36 tBodyAcc-arCoeff()-Z"
"47","3"
"48","37 tBodyAcc-arCoeff()-Z"
"49","4"
"50","38 tBodyAcc-correlation()-X"
"51","Y"
"52","39 tBodyAcc-correlation()-X"
"53","Z"
"54","40 tBodyAcc-correlation()-Y"
"55","Z"
"56","41 tGravityAcc-mean()-X"
"57","42 tGravityAcc-mean()-Y"
"58","43 tGravityAcc-mean()-Z"
"59","44 tGravityAcc-std()-X"
"60","45 tGravityAcc-std()-Y"
"61","46 tGravityAcc-std()-Z"
"62","47 tGravityAcc-mad()-X"
"63","48 tGravityAcc-mad()-Y"
"64","49 tGravityAcc-mad()-Z"
"65","50 tGravityAcc-max()-X"
"66","51 tGravityAcc-max()-Y"
"67","52 tGravityAcc-max()-Z"
"68","53 tGravityAcc-min()-X"
"69","54 tGravityAcc-min()-Y"
"70","55 tGravityAcc-min()-Z"
"71","56 tGravityAcc-sma()"
"72","57 tGravityAcc-energy()-X"
"73","58 tGravityAcc-energy()-Y"
"74","59 tGravityAcc-energy()-Z"
"75","60 tGravityAcc-iqr()-X"
"76","61 tGravityAcc-iqr()-Y"
"77","62 tGravityAcc-iqr()-Z"
"78","63 tGravityAcc-entropy()-X"
"79","64 tGravityAcc-entropy()-Y"
"80","65 tGravityAcc-entropy()-Z"
"81","66 tGravityAcc-arCoeff()-X"
"82","1"
"83","67 tGravityAcc-arCoeff()-X"
"84","2"
"85","68 tGravityAcc-arCoeff()-X"
"86","3"
"87","69 tGravityAcc-arCoeff()-X"
"88","4"
"89","70 tGravityAcc-arCoeff()-Y"
"90","1"
"91","71 tGravityAcc-arCoeff()-Y"
"92","2"
"93","72 tGravityAcc-arCoeff()-Y"
"94","3"
"95","73 tGravityAcc-arCoeff()-Y"
"96","4"
"97","74 tGravityAcc-arCoeff()-Z"
"98","1"
"99","75 tGravityAcc-arCoeff()-Z"
"100","2"
"101","76 tGravityAcc-arCoeff()-Z"
"102","3"
"103","77 tGravityAcc-arCoeff()-Z"
"104","4"
"105","78 tGravityAcc-correlation()-X"
"106","Y"
"107","79 tGravityAcc-correlation()-X"
"108","Z"
"109","80 tGravityAcc-correlation()-Y"
"110","Z"
"111","81 tBodyAccJerk-mean()-X"
"112","82 tBodyAccJerk-mean()-Y"
"113","83 tBodyAccJerk-mean()-Z"
"114","84 tBodyAccJerk-std()-X"
"115","85 tBodyAccJerk-std()-Y"
"116","86 tBodyAccJerk-std()-Z"
"117","87 tBodyAccJerk-mad()-X"
"118","88 tBodyAccJerk-mad()-Y"
"119","89 tBodyAccJerk-mad()-Z"
"120","90 tBodyAccJerk-max()-X"
"121","91 tBodyAccJerk-max()-Y"
"122","92 tBodyAccJerk-max()-Z"
"123","93 tBodyAccJerk-min()-X"
"124","94 tBodyAccJerk-min()-Y"
"125","95 tBodyAccJerk-min()-Z"
"126","96 tBodyAccJerk-sma()"
"127","97 tBodyAccJerk-energy()-X"
"128","98 tBodyAccJerk-energy()-Y"
"129","99 tBodyAccJerk-energy()-Z"
"130","100 tBodyAccJerk-iqr()-X"
"131","101 tBodyAccJerk-iqr()-Y"
"132","102 tBodyAccJerk-iqr()-Z"
"133","103 tBodyAccJerk-entropy()-X"
"134","104 tBodyAccJerk-entropy()-Y"
"135","105 tBodyAccJerk-entropy()-Z"
"136","106 tBodyAccJerk-arCoeff()-X"
"137","1"
"138","107 tBodyAccJerk-arCoeff()-X"
"139","2"
"140","108 tBodyAccJerk-arCoeff()-X"
"141","3"
"142","109 tBodyAccJerk-arCoeff()-X"
"143","4"
"144","110 tBodyAccJerk-arCoeff()-Y"
"145","1"
"146","111 tBodyAccJerk-arCoeff()-Y"
"147","2"
"148","112 tBodyAccJerk-arCoeff()-Y"
"149","3"
"150","113 tBodyAccJerk-arCoeff()-Y"
"151","4"
"152","114 tBodyAccJerk-arCoeff()-Z"
"153","1"
"154","115 tBodyAccJerk-arCoeff()-Z"
"155","2"
"156","116 tBodyAccJerk-arCoeff()-Z"
"157","3"
"158","117 tBodyAccJerk-arCoeff()-Z"
"159","4"
"160","118 tBodyAccJerk-correlation()-X"
"161","Y"
"162","119 tBodyAccJerk-correlation()-X"
"163","Z"
"164","120 tBodyAccJerk-correlation()-Y"
"165","Z"
"166","121 tBodyGyro-mean()-X"
"167","122 tBodyGyro-mean()-Y"
"168","123 tBodyGyro-mean()-Z"
"169","124 tBodyGyro-std()-X"
"170","125 tBodyGyro-std()-Y"
"171","126 tBodyGyro-std()-Z"
"172","127 tBodyGyro-mad()-X"
"173","128 tBodyGyro-mad()-Y"
"174","129 tBodyGyro-mad()-Z"
"175","130 tBodyGyro-max()-X"
"176","131 tBodyGyro-max()-Y"
"177","132 tBodyGyro-max()-Z"
"178","133 tBodyGyro-min()-X"
"179","134 tBodyGyro-min()-Y"
"180","135 tBodyGyro-min()-Z"
"181","136 tBodyGyro-sma()"
"182","137 tBodyGyro-energy()-X"
"183","138 tBodyGyro-energy()-Y"
"184","139 tBodyGyro-energy()-Z"
"185","140 tBodyGyro-iqr()-X"
"186","141 tBodyGyro-iqr()-Y"
"187","142 tBodyGyro-iqr()-Z"
"188","143 tBodyGyro-entropy()-X"
"189","144 tBodyGyro-entropy()-Y"
"190","145 tBodyGyro-entropy()-Z"
"191","146 tBodyGyro-arCoeff()-X"
"192","1"
"193","147 tBodyGyro-arCoeff()-X"
"194","2"
"195","148 tBodyGyro-arCoeff()-X"
"196","3"
"197","149 tBodyGyro-arCoeff()-X"
"198","4"
"199","150 tBodyGyro-arCoeff()-Y"
"200","1"
"201","151 tBodyGyro-arCoeff()-Y"
"202","2"
"203","152 tBodyGyro-arCoeff()-Y"
"204","3"
"205","153 tBodyGyro-arCoeff()-Y"
"206","4"
"207","154 tBodyGyro-arCoeff()-Z"
"208","1"
"209","155 tBodyGyro-arCoeff()-Z"
"210","2"
"211","156 tBodyGyro-arCoeff()-Z"
"212","3"
"213","157 tBodyGyro-arCoeff()-Z"
"214","4"
"215","158 tBodyGyro-correlation()-X"
"216","Y"
"217","159 tBodyGyro-correlation()-X"
"218","Z"
"219","160 tBodyGyro-correlation()-Y"
"220","Z"
"221","161 tBodyGyroJerk-mean()-X"
"222","162 tBodyGyroJerk-mean()-Y"
"223","163 tBodyGyroJerk-mean()-Z"
"224","164 tBodyGyroJerk-std()-X"
"225","165 tBodyGyroJerk-std()-Y"
"226","166 tBodyGyroJerk-std()-Z"
"227","167 tBodyGyroJerk-mad()-X"
"228","168 tBodyGyroJerk-mad()-Y"
